id,label,description,rights,meta.Agent,meta.Alt Text,meta.Date,meta.Location: Current,meta.Location: Place of Origin,meta.Cultural Context,meta.Material,meta.Measurements,meta.Rights,meta.Style Period,meta.Subject,meta.Technique,meta.Worktype
000569,Leyster: Self-portrait,"This portrait of the artist wears a huge collar and a bonnet, while painting a merry fiddler on canvas.",Public Domain,Judith Leyster,A self-portrait of the artist while she paints a jester,CE 1630,"National Gallery of Art, Washington DC, USA","Haarlem, Netherlands","Northern and Western European, Netherlandish, Baroque",oil on canvas,74.6 x 65.1 cm,Public Domain,"17th Century CE, Baroque",self portrait,,Painting
000570,Liberty Enlightening the World (Statue of Liberty),"This is a copper statue with light green patina of a female figure in a long, layered classical gown. Her right arm, which holds a lit torch, is fully extended above her head so that the sleeve of her garment falls down over her upper arm, and in her left hand she holds a tablet that says JULY IV MDCCLXXVI (July 4, 1776). This personification of Liberty has long hair on top of which is a crown that has seven rays. At the feet of the statue (not visible in the photo) is a broken chain. The statue stands atop a large concrete pedestal that looks like a fortress or castle.",Public Domain,Frédéric Auguste Bartholdi and Gustave Eiffel,A robed female in a crown holds a lamp up above her head while clutching a book in her hand.,CE 1886,"New York Harbor, USA",France,"American, Neoclassicism",copper,Height of copper statue (to torch): 46 m; From ground level to torch: 93 m,Public Domain,"19th Century CE, Neoclassicism",personification,,Sculpture
000571,Library of Emperor Yohannes I ,"A two-story yellow square building with round-topped stone battlements at the roofline stands in a grassy field with a hand built rock wall in front of it. On the lower level are two doorways with red brick arches above them, the right one wider than the left. Seven arched windows in a row mark the second tier, the middle one slightly larger than the others. ",CC BY-SA 3.0 Bernard Gagnon,Unknown,A building surrounded by a crumbling stone wall,CE 1600-1700,"Fasil Ghebbi, Gondar, Ethiopia","Fasil Ghebbi, Gondar, Ethiopia","East African, Ethiopian, Gondarian",,,CC BY-SA 3.0 Bernard Gagnon,"17th Century CE, Gondar Period",Gondar period,,Architecture
000572,Licheng: The Sacred Heart Cathedral,"This is a front view of the Cathedral, showing a Gothic Revival Style .  Twin spires are decorated with crosses.  There are arched windows with piers in all the registers surrounding the central rose window and four medallions.  Three arched portals are at the street level.",CC BY-SA 3.0 AlexHe34,Lu Licheng,"A Cathedral with twin spires decorated with crosses, arched windows and a central rose window.",CE 1905,"Jinan, Shandong Province, China","Jinan, Shandong Province, China","East Asian, Chinese, Foreign Missionary Occupations",,,CC BY-SA 3.0 AlexHe34,"20th Century CE, Gothic Revival",Christianity,,Architecture
000573,Lidded Salt Cellar,"An elaborately architectural container with varied decorative geometric patterns and textures. Male and female figures alternate with dogs at the lower level, which tapers to a sphere wrapped with long and delicately carved snakes, which lower their heads toward the dogs. Above this are several more tiers, culminating in a large sphere from which delicate spires taper to a cone at the apex.",CC 1.0 Universal Public Domain,Unknown,"A container is shaped like an hourglass, decorated with patterns, figures and animals. The upper sphere is decorated with snakes and topped with a finial. ",CE 1400-1500,"The Metropolitan Museum of Art, New York, NY, USA",Sierra Leone,"Western African, Sierra Leonean, Sapi",ivory,29.8 x 10.8 cm,CC 1.0 Universal Public Domain,15-16th Century CE,Sapi,,Sculpture
000574,Lidded Vessel,"A slightly curved cylindrical vessel with tiered circular base. The lower register on one side shows fish and water in an interconnecting pattern, while the other side shows vegetation and animal figures. The upper register (separated by geometric bands) shows the king (olowo) with two attendants on one side, and on the other side the olowo holding crocodiles by their tails.",CC 1.0 Universal Public Domain,Unknown,"A cylindrical vessel shows on the lower register fish, water, vegetation, and animal figures. The upper register shows a king, two attendants, and two crocodiles.",CE 1600-1700,"The Metropolitan Museum of Art, New York, NY, USA",Nigeria,"West African, Nigerian, Yoruban","ivory, wood or coconut shell inlay",21 × 12.1 × 11.7 cm,CC 1.0 Universal Public Domain,17-18th Century CE,olowo,,Sculpture
000575,Life of Buddha in Indian Art -- a visual essay,"The story of the historical Buddha's life -- from birth at the top, from Prince and sojourner to enlightenment in the middle, and death at the bottom -- is carved on the five registers of this stela. More information at the Cleveland Museum of Art webpage. ",CC 1.0 Universal Public Domain,Unknown,Stone relief of several square scenes showing figures seated and standing.,CE 0-300,Cleveland Museum of Art,Central Asia/South Asia,"South Asian, Pakistani, Indian Buddhist, Gandhara, Ishvaku, Hellenistic",schist,68 x 41.3 cm,CC 1.0 Universal Public Domain,"1st-4th Century CE, Kushan Period",Buddhism,,Sculpture
000576,Limbourg Brothers: Les Très Riches Heures February,"This manuscript page has polychrome tempera and gold leaf on vellum. A semicircular band at the top of the page numbers the days in which the constellations Aquarius and Pisces appear in the sky; below it are depictions of those zodiac signs, Aquarius as a man emptying a water jar and Pisces as a pair of fish facing each other tail to head. Below these depictions another semicircular band divided into four rows shows the days of the month of February and marks important dates in the Ecclesiastical calendar; below this is an image of the sun's chariot. A rectangular image covers the bottom of the page. It shows a snow-covered landscape with a town in the distance; a man drives a donkey laden with wood on a road toward the town, while another man chops wood at the edge of a forest of leafless trees. A space enclosed by wattle fences in the foreground shows, left to right, two men and a woman warming themselves at a fire in a hut; several barrels and bundles of sticks outside the hut, a pen filled with sheep in the roof of which is one circular hole, crows feeding on dropped grain outside the pen, a row of bee hives beside a leafless tree, the undercarriage of a wagon, a figure wrapped in a white cloak making its way toward the hut, and a tall brick structure that appears to be a kiln.",Public Domain,Limbourg Brothers,"Manuscript page with polychrome tempera and gold leaf on vellum, illustrating the month of February.",CE 1412-1416,"Musée Condé, Chantilly, France","Paris, France","Northern and Western European, French, Netherlandish, Christendom, Gothic",polychrome tempera and gold leaf on vellum,Leaf size: 23.8 x 17 cm,Public Domain,"15th Century CE, Gothic",genre,,Manuscript
000577,Limbourg Brothers: Les Très Riches Heures May,"This manuscript page has polychrome tempera and gold leaf on vellum. A semicircular band at the top of the page numbers shows blank slots for the days in which the constellations Taurus and Libra appear in the sky; below it are depictions of those zodiac signs, Taurus as a bull with its head down and Libra as a naked man and woman standing side by side, the man's arm around the woman's waist. Below these depictions another semicircular band divided into four rows shows blank slots for the days of the month of May and for important dates in the Ecclesiastical calendar (evidently, the image was never finished); below this is an image of the sun's chariot. A rectangular image covers the bottom of the page. It shows a town or castle in the distance and a set of figures in the foreground; between them is a band of forest in full leaf. The figures in the foreground are a hunting party: five men at the extreme left are blowing hunting horns; they are followed by a line of noble men and women on horseback that stretches across the foreground; all are adorned in richly decorated robes of red, gold, green, and blue, and wear headgear adorned with garlands of leaves. Two small dogs appear at the feet of the horses, in the extreme foreground of the image.",Public Domain,Limbourg Brothers,"Manuscript page with polychrome tempera and gold leaf on vellum, illustrating the month of May.",CE 1412-1416,"Musée Condé, Chantilly, France","Paris, France","Northern and Western European, French, Netherlandish, Christendom, Gothic",polychrome tempera and gold leaf on vellum,Leaf size: 23.8 x 17 cm,Public Domain,"15th Century CE, Gothic",genre,,Manuscript
000578,Lindau Gospel,The Lindau Gospels’ cover is extravagantly decorated with various colorful and precious jewels and pearls. The metalwork shows a crucifix on the cover. ,"CC 1.0 Universal Public Domain, Pamela Liu, NYU student",Unknown,The Lindau Gospels’ cover is extravagantly decorated with various colorful and precious jewels and pearls. The metalwork shows a crucifix on the cover.,CE 880,"The Morgan Library and Museum, New York City, NY, US",Central Europe,"Northern and Western European, French, Christendom",Cover: gold and jewel encrusted,350 x 275 mm,"CC 1.0 Universal Public Domain, Pamela Liu, NYU student",9th Century CE,Christianity,,Manuscript
000579,"Lindisfarne Gospel Book, Folio 27r","Folio 27r shows a page of an illuminated manuscript. Illustrated lines in gold box letters in Latin that are enlarged on the viewer's left, The page is the first of the Gospel of Matthew.",CC 1.0 Universal Public Domain,Eadfrith of Lindisfarne,A manuscript page shows an elaborate design around the script.,CE 715-720,"The British Library, London, England","Monastery at Lindisfarne, Northumberland, United Kingdom","Northern and Western European, French, Christendom",ink on vellum,approx. 365 x 275 mm,CC 1.0 Universal Public Domain,8th Century CE,Christianity,,Manuscript
000580,"Lion Attacks Bull, Persepolis","A carved stone relief below a staircase of a lion attacking a bull's flanks, biting them, while the horned bull rears and looks backward. The staircase above leads to the Apadana, or the massive 36-columned ceremonial hall where visitors were received.",Public Domain,Unknown,"A carved stone relief of a lion attacking a bull's flanks, biting them, while the horned bull rears and looks backward.",BCE 486-465,"Persepolis, Marvdasht, Iran","Persepolis, Marvdasht, Iran","Middle Eastern, Iranian, Persian, Achaemenid",stone,"125,000 sq ft",Public Domain,"5th Century CE, Achaemenid","lion, bull",carved,Architecture
000581,Lion Fresco (Burgos),"This large rectangular fresco is of a stylized lion on a blue and mustard background, standing by an abstract tree in front of a simplified architectural structure; in a rectangular register below the lion, stylized, curving fish and sea-beasts are painted on a red backdrop.",CC 1.0 Universal Public Domain,Unknown,"Large rectangular fresco of a stylized lion on a blue and mustard background, standing by an abstract tree.",CE 1200-1300,"The Cloisters, Metropolitan Museum of Art, New York, NY, USA","Burgos, Spain","Southern European, Spanish, Christendom, Romanesque","fresco, mounted on canvas","Overall: 332.7 x 335.3 cm
Overall (top panel): 210.8 x 335.3 cm
Overall (lower panel): 121.9 x 335.3 cm",CC 1.0 Universal Public Domain,"13-14th Century CE, Romanesque",lion,,Painting
000582,Lion Gate,"Large gate built of stones. Post and lintel construction. Over the lintel, there is a roughly triangular stone, decorated with a relief sculpture of two lions, each standing on either side of a column that is built on a platform. The lions’ front paws stand on the platform, with their back paws on the ground. Both are missing their heads.",CC BY-SA 3.0 Rokaszil,Unknown,"Large gate built of stones. Over the lintel, a roughly triangular stone shows two lions standing on either side of a column.",BCE 1300-1250 ,"Argolid, Greece",Greece,"Ancient Greek, Mycenaean",stone,3.1 x 2.95 m,CC BY-SA 3.0 Rokaszil,"2nd Millennium BCE, Mycenaean",lion,,Architecture
